beck_id beck_greek_name beck_english_name
DMM4103	φλόμος	Mullein
DMM4104	Αἰθιοπίς	Silver sage
DMM4105	ἄρκτιον	Bearwort
DMM4106	ἄρκιον	Burdock
DMM4107	πετασῖτις	Butterbur
DMM4108	ἐπιπακτίς	Rupturewort
DMM4109	καπνὸς ὁ ἐν ταῖς κριθαῖς φυόμενος	Fumitory
DMM4110	λωτὸς ὁ ἐν τοῖς παραδείσοις φυόμενος	Italian melilot
DMM4111	λωτὸς ἄγριος	Wild fenugreek
DMM4112	κύτισος	Tree medick
DMM4113	λωτὸς ὁ ἐν Αἰγύπτῳ γεννώμενος	Egyptian lotus
DMM4114	μυριόφυλλον	Water milfoil
DMM4115	μυρρίς	Sweet cicely
DMM4116	μύαγρον	Ball mustard
DMM4117	ὀνάγρα	Oleander
DMM4118	κρίσσιον	Thistle
DMM4119	ἀστὴρ Ἀττικός	Blue daisy
DMM4120	ἰσόπυρον	Fumitory
DMM4121	ἴον	Violet
DMM4122	κακκαλία	Caccalia
DMM4123	βούνιον	Earthnut
