edition,edition_entry_id,dmm_id,greek_lemma,latin_lemma
beck,row461,DMM3146,ἀλθαία,Marsh mallow
beck,row462,DMM3147,ἀλκαία,Vervain mallow
beck,row463,DMM3148,κάνναβις,Hemp
beck,row464,DMM3149,ἀγρία κάνναβις,Hemp mallow
beck,row465,DMM3150,ἀνάγυρος,Stinking bean trefoil
beck,row466,DMM3151,κηπαία,Cepaia
beck,row467,DMM3152,ἄλισμα,Water plantain
beck,row468,DMM3153,ὀνοβρυχίς,Cock’s head
beck,row469,DMM3154,ὑπερικόν,St. John’s wort
beck,row470,***DMM3135 MISSING,ἄσκυρον,St. John’s wort
beck,row471,DMM3156,ἀνδρόσαιμον,St. John’s wort
beck,row472,DMM3157,κόρις,St. John’s wort
beck,row473,DMM3158,χαμαίπιτυς,Ground pine
beck,row474,DMM4001,κέστρον,Betony
beck,row475,DMM4002,βρεττανική,Water dock
beck,row476,DMM4003,λυσιμάχειος,Loosestrife
beck,row477,DMM4004,πολύγονον ἄρρεν,Knotgrass
