edition,edition_entry_id,desmoulins_page,desmoulins_chapter,desmoulins_term
desmoulins,row456,492,Chap. CXXVII,Du satyrion erythronium.
desmoulins,row457,494,Chap. CXXVIII,De horminum.
desmoulins,row458,495,Chap. CXXIX,De hedysarum.
desmoulins,row459,496,Chap. CXXX,De onosma.
desmoulins,row460,497,Chapitre CXXXI,"De nymphaea, ou nenufar."
desmoulins,row461,497,Chap. CXXXII,"De la seconde espece de nymphaea, ou nenufar."
desmoulins,row462,498,Chap. CXXXIII,De androsaces.
desmoulins,row463,499,Chap. CXXXIIII,"Du ceterac, ou asplenum."
desmoulins,row464,500,Chap. CXXXV,De hemionitis.
desmoulins,row465,501,Chap. CXXXVI,De anthyllis.
desmoulins,row466,502,Chap. CXXXVII,De la camomille.
desmoulins,row467,503,Chap. CXXXVIII,De la matricaire.
desmoulins,row468,504,Chap. CXXXIX,"De buphthalmum, oeil de boeuf."
desmoulins,row469,506,Chap. CXL,De la pivoine.
desmoulins,row470,507,Chap. CXLI,De lithospermum.
desmoulins,row471,508,Chap. CXLII,De phalaris.
desmoulins,row472,508,Chap. CXLIII,De la garance.
